Re,aoa,cl,cd,cm
396209.3279,-90,1.371328908,-0.10836494,-0.732901694
396209.3279,-85,1.360212961,-0.218478379,-0.717233638
396209.3279,-80,1.339097191,-0.321583349,-0.697617556
396209.3279,-75,1.295988421,-0.414658905,-0.669113792
396209.3279,-70,1.236891215,-0.49922983,-0.635292694
396209.3279,-65,1.163639289,-0.573916995,-0.599120355
396209.3279,-60,1.071170616,-0.628787742,-0.554592348
396209.3279,-55,0.976419321,-0.672948537,-0.512073481
396209.3279,-50,0.866910591,-0.695637124,-0.462627834
396209.3279,-45,0.74800384,-0.695949156,-0.408705813
396209.3279,-40,0.629095603,-0.675904032,-0.35330504
396209.3279,-35,0.513950941,-0.627184807,-0.29422418
396209.3279,-30,0.403523578,-0.5578199,-0.233894106
396209.3279,-28,0.361792683,-0.52593265,-0.210046573
396209.3279,-26,0.32245085,-0.493325369,-0.187131711
396209.3279,-24,0.286135414,-0.463534714,-0.166337922
396209.3279,-22,0.251163762,-0.435375777,-0.146587266
396209.3279,-20,0.216870555,-0.407066095,-0.126863616
396209.3279,-18,0.177286816,-0.394461037,-0.108117587
396209.3279,-16,0.125618987,-0.447655505,-0.098638757
396209.3279,-14,0.091311217,-0.480391581,-0.094865947
396209.3279,-12,0.069849972,-0.45775422,-0.085629436
396209.3279,-10,0.053710584,-0.415464367,-0.074545427
396209.3279,-8,0.041730608,-0.350185775,-0.059474238
396209.3279,-6,0.028631574,-0.330341659,-0.05732781
396209.3279,-4,0.017855323,-0.284196639,-0.046248885
396209.3279,-2,0.014614312,-0.10114356,0.003075277
396209.3279,0,0.013864088,0.111008046,0.060454446
396209.3279,2,0.014308812,0.324682934,0.117648837
396209.3279,4,0.016289843,0.528003776,0.170520957
396209.3279,6,0.020468637,0.705328353,0.213956376
396209.3279,8,0.02758437,0.827743308,0.239462505
396209.3279,10,0.045357956,0.809564814,0.229845148
396209.3279,12,0.066098447,0.800276995,0.227168143
396209.3279,14,0.093376214,0.773493424,0.225524644
396209.3279,16,0.140198302,0.672750886,0.219766173
396209.3279,18,0.203914563,0.557431008,0.219256627
396209.3279,20,0.242268898,0.558982417,0.232812312
396209.3279,22,0.281344053,0.574252526,0.249321325
