w,aoa,cd,cl,cm
0,-60,2.043023295,-1.178866715,0.113870653
0,-55,1.784052335,-1.24850113,0.12384856
0,-50,1.519081481,-1.274212843,0.130550478
0,-45,1.258836185,-1.260763871,0.13360203
0,-40,1.004262312,-1.2123409,0.132326553
0,-35,0.787009888,-1.128417538,0.12929771
0,-30,0.619399585,-1.019308257,0.124165464
0,-25,0.468929284,-0.897517827,0.113736889
0,-23,0.414403145,-0.848438421,0.108040643
0,-21,0.363430638,-0.798958888,0.101545643
0,-19,0.31625657,-0.749135781,0.094343897
0,-17,0.273518517,-0.702120216,0.086495326
0,-15,0.235393349,-0.659079305,0.078038202
0,-14,0.219013441,-0.643624123,0.0736797
0,-13,0.201929759,-0.623916657,0.069144026
0,-12,0.185746775,-0.606008882,0.064933967
0,-11,0.172342838,-0.598587433,0.060928188
0,-10,0.157547007,-0.581879275,0.056496592
0,-9,0.144650385,-0.57497808,0.053873552
0,-8,0.132330973,-0.574744414,0.052622336
0,-7,0.119108492,-0.569973277,0.051843631
0,-6,0.10725368,-0.577919165,0.053866709
0,-5,0.094563853,-0.581447168,0.059825579
0,-4,0.080731495,-0.567526641,0.071185685
0,-3,0.065174231,-0.480821329,0.078413928
0,-2,0.052255553,-0.317526209,0.06515901
0,-1,0.04521924,-0.150257405,0.034874224
0,0,0.042886958,0.001730706,-1.45E-04
0,1,0.04521924,0.150257405,-0.034874224
0,2,0.052255553,0.317526209,-0.06515901
0,3,0.065174231,0.480821329,-0.078413928
0,4,0.080731495,0.567526641,-0.071185685
0,5,0.094563853,0.581447168,-0.059825579
0,6,0.10725368,0.577919165,-0.053866709
0,7,0.119108492,0.569973277,-0.051843631
0,8,0.132330973,0.574744414,-0.052622336
0,9,0.144650385,0.57497808,-0.053873552
0,10,0.157547007,0.581879275,-0.056496592
0,11,0.172342838,0.598587433,-0.060928188
0,12,0.185746775,0.606008882,-0.064933967
0,13,0.201929759,0.623916657,-0.069144026
0,14,0.219013441,0.643624123,-0.0736797
0,15,0.235393349,0.659079305,-0.078038202
0,17,0.273518517,0.702120216,-0.086495326
0,19,0.31625657,0.749135781,-0.094343897
0,21,0.363430638,0.798958888,-0.101545643
0,23,0.414403145,0.848438421,-0.108040643
0,25,0.468929284,0.897517827,-0.113736889
0,30,0.619399585,1.019308257,-0.124165464
0,35,0.787009888,1.128417538,-0.12929771
0,40,1.004262312,1.2123409,-0.132326553
0,45,1.258836185,1.260763871,-0.13360203
0,50,1.519081481,1.274212843,-0.130550478
0,55,1.784052335,1.24850113,-0.12384856
0,60,2.043023295,1.178866715,-0.113870653
0.01,-60,2.05509674,-1.185429928,-0.093530528
0.01,-55,1.796188466,-1.256667663,-0.057161615
0.01,-50,1.531030315,-1.283947967,-0.023500058
0.01,-45,1.267674843,-1.269128096,0.00616869
0.01,-40,1.014583104,-1.220285896,0.030939107
0.01,-35,0.789431808,-1.136874974,0.05010006
0.01,-30,0.621564326,-1.025816551,0.062144253
0.01,-25,0.469873887,-0.901116023,0.066912409
0.01,-23,0.415575669,-0.852377345,0.066693504
0.01,-21,0.36455281,-0.802815997,0.065399432
0.01,-19,0.317070233,-0.752241258,0.062835775
0.01,-17,0.274279488,-0.704825961,0.059527388
0.01,-15,0.235565311,-0.660328883,0.054553032
0.01,-14,0.219205141,-0.64469399,0.052188488
0.01,-13,0.203257804,-0.629547344,0.049230723
0.01,-12,0.186846059,-0.611113596,0.046496345
0.01,-11,0.172199633,-0.597716291,0.043857034
0.01,-10,0.158084942,-0.585057349,0.040754782
0.01,-9,0.145490637,-0.580332676,0.03977319
0.01,-8,0.132420421,-0.575830501,0.039362822
0.01,-7,0.119978704,-0.576363804,0.040480367
0.01,-6,0.107103684,-0.576792051,0.04300808
0.01,-5,0.094315262,-0.581013233,0.050541831
0.01,-4,0.080542044,-0.567645215,0.063172974
0.01,-3,0.065073959,-0.482018564,0.072273685
0.01,-2,0.052451441,-0.314999462,0.05917538
0.01,-1,0.045255026,-0.153574117,0.030719191
0.01,0,0.042896847,9.27E-04,-0.004235287
0.01,1,0.045238538,0.149630189,-0.039232315
0.01,2,0.052600735,0.316364798,-0.070148455
0.01,3,0.065333945,0.481770324,-0.085239552
0.01,4,0.080875499,0.569169536,-0.079655923
0.01,5,0.094751536,0.582757077,-0.069585969
0.01,6,0.107559144,0.58005617,-0.064788517
0.01,7,0.11988613,0.575620148,-0.064275743
0.01,8,0.134430086,0.58747161,-0.066941857
0.01,9,0.146492142,0.584612295,-0.069143037
0.01,10,0.158882632,0.588181571,-0.0727719
0.01,11,0.17217776,0.597737359,-0.077909942
0.01,12,0.187551907,0.614055703,-0.083728877
0.01,13,0.203324723,0.629134938,-0.089676
0.01,14,0.219581492,0.645169191,-0.09561066
0.01,15,0.236027954,0.660794898,-0.10162827
0.01,17,0.274054508,0.702933945,-0.113941073
0.01,19,0.316758515,0.749634546,-0.125911927
0.01,21,0.363585948,0.798519884,-0.137733594
0.01,23,0.412860488,0.843779886,-0.148885168
0.01,25,0.467973215,0.893902501,-0.160363903
0.01,30,0.617419516,1.012847821,-0.185922986
0.01,35,0.785058938,1.121921231,-0.20814664
0.01,40,0.994983145,1.204738534,-0.231899182
0.01,45,1.250461414,1.252460952,-0.259337848
0.01,50,1.509776467,1.266536778,-0.282637226
0.01,55,1.773515763,1.241132179,-0.302712605
0.01,60,2.032334071,1.172680979,-0.319018452
0.02,-60,2.06895122,-1.193446459,-0.303914852
0.02,-55,1.808592094,-1.265269709,-0.240836007
0.02,-50,1.542602791,-1.293564471,-0.180066944
0.02,-45,1.278618928,-1.279689861,-0.123361118
0.02,-40,1.024120121,-1.229814547,-0.072658903
0.02,-35,0.79316082,-1.146157995,-0.029769191
0.02,-30,0.624272095,-1.03341162,-4.16E-04
0.02,-25,0.471292899,-0.905722386,0.019893217
0.02,-23,0.416512769,-0.855847558,0.025169941
0.02,-21,0.364824834,-0.804378037,0.029118761
0.02,-19,0.317377045,-0.753771361,0.031330849
0.02,-17,0.274426914,-0.705713303,0.03228624
0.02,-15,0.236056783,-0.662323321,0.031233465
0.02,-14,0.218842062,-0.643584757,0.030438769
0.02,-13,0.202836208,-0.627935971,0.029082765
0.02,-12,0.187304086,-0.613516061,0.027979242
0.02,-11,0.172932666,-0.601216714,0.026781734
0.02,-10,0.159506748,-0.592826695,0.02507366
0.02,-9,0.145439247,-0.580137514,0.025257842
0.02,-8,0.132892617,-0.578804994,0.026266701
0.02,-7,0.120209833,-0.577994086,0.02850213
0.02,-6,0.108081475,-0.585074206,0.032729893
0.02,-5,0.094362315,-0.581439316,0.040954861
0.02,-4,0.080525712,-0.568070111,0.055002055
0.02,-3,0.065053154,-0.48264202,0.065683217
0.02,-2,0.052486766,-0.316256174,0.054111541
0.02,-1,0.04530311,-0.154498445,0.026399848
0.02,0,0.042941945,-6.65E-05,-8.28E-03
0.02,1,0.045305642,0.149040677,-0.043621551
0.02,2,0.052659876,0.31573554,-0.075318776
0.02,3,0.065296804,0.480118274,-0.091874399
0.02,4,0.080985528,0.570052662,-0.088058266
0.02,5,0.095267146,0.587716629,-0.079719656
0.02,6,0.108025621,0.583636176,-0.07603354
0.02,7,0.120752331,0.580927226,-0.076848997
0.02,8,0.133655399,0.582580677,-0.079851271
0.02,9,0.146240238,0.583239727,-0.083490328
0.02,10,0.159381018,0.590321026,-0.088844242
0.02,11,0.173090299,0.601677923,-0.095387308
0.02,12,0.189079433,0.619956724,-0.102968286
0.02,13,0.202932476,0.627025748,-0.109606738
0.02,14,0.220029431,0.646128829,-0.117461193
0.02,15,0.236367407,0.661736904,-0.125033426
0.02,17,0.274202635,0.70252772,-0.141166932
0.02,19,0.316721929,0.748733105,-0.157312512
0.02,21,0.362741897,0.795277274,-0.173680406
0.02,23,0.411474754,0.839036586,-0.189727709
0.02,25,0.46640211,0.888932683,-0.206599044
0.02,30,0.616749743,1.009052652,-0.247630027
0.02,35,0.783384116,1.116250432,-0.286689096
0.02,40,0.991556833,1.199042279,-0.331316288
0.02,45,1.244021256,1.246063323,-0.383842884
0.02,50,1.50222423,1.260318098,-0.43322015
0.02,55,1.76475895,1.235078626,-0.479880512
0.02,60,2.023885933,1.167819402,-0.522436295
0.03,-60,2.084806387,-1.202524738,-0.517649583
0.03,-55,1.823819035,-1.275843779,-0.427836535
0.03,-50,1.555566194,-1.304415013,-0.339376754
0.03,-45,1.290489665,-1.291070252,-0.255408443
0.03,-40,1.035121575,-1.240857715,-0.178496695
0.03,-35,0.797953074,-1.157124801,-0.110885572
0.03,-30,0.6272628,-1.041272668,-0.063593268
0.03,-25,0.474438526,-0.914000842,-0.027708475
0.03,-23,0.418560627,-0.86160876,-0.016592906
0.03,-21,0.36671499,-0.810081168,-0.007406057
0.03,-19,0.318827345,-0.758505454,-0.000309689
0.03,-17,0.275903582,-0.710843012,0.004959837
0.03,-15,0.236996998,-0.666449471,0.007778213
0.03,-14,0.219475799,-0.646616594,0.008560907
0.03,-13,0.202469951,-0.627237204,0.00889146
0.03,-12,0.188145906,-0.617420754,0.009246567
0.03,-11,0.173171555,-0.602766723,0.009647319
0.03,-10,0.159080736,-0.590672782,0.009240733
0.03,-9,0.145354946,-0.579588763,0.01076476
0.03,-8,0.132619591,-0.577243017,0.013005073
0.03,-7,0.120119465,-0.57721393,0.016445464
0.03,-6,0.107739847,-0.582168012,0.021752873
0.03,-5,0.094459923,-0.582226737,0.031396986
0.03,-4,0.080463817,-0.56765898,0.046706427
0.03,-3,0.065030032,-0.483515252,0.059160611
0.03,-2,0.052562888,-0.317593341,0.049032652
0.03,-1,0.04532521,-0.155187987,0.022041451
0.03,0,0.04299043,-5.92E-04,-0.01246307
0.03,1,0.045322124,0.148592007,-0.048021403
0.03,2,0.052593586,0.314771941,-0.080445364
