aoa,cd,cl,cm
-60,1.094229056,-0.668825158,-0.539595055
-50,0.881768612,-0.772889994,-0.772889994
-40,0.659186932,-0.805420927,-0.389879994
-30,0.445197322,-0.758366065,-0.309704429
-20,0.260114672,-0.632430172,-0.231629137
-18,0.228487798,-0.599893003,-0.21784213
-16,0.199434347,-0.568374688,-0.205531104
-14,0.172847313,-0.537085869,-0.194879009
-12,0.149802788,-0.517633899,-0.190004473
-10,0.128771439,-0.510120723,-0.187725045
-8,0.107683304,-0.505827316,-0.185394831
-6,0.085414388,-0.506069436,-0.178850944
-4,0.058546323,-0.478500503,-0.141243039
-2,0.032409833,-0.235844581,-0.05154952
0,0.024915779,-7.22E-05,-1.63E-05
2,0.032409833,0.235844581,0.05154952
4,0.058546323,0.478500503,0.141243039
6,0.085414388,0.506069436,0.178850944
8,0.107683304,0.505827316,0.185394831
10,0.128771439,0.510120723,0.187725045
12,0.149802788,0.517633899,0.190004473
14,0.172847313,0.537085869,0.194879009
16,0.199434347,0.568374688,0.205531104
18,0.228487798,0.599893003,0.21784213
20,0.260114672,0.632430172,0.231629137
30,0.445197322,0.758366065,0.309704429
40,0.659186932,0.805420927,0.389879994
50,0.881768612,0.772889994,0.772889994
60,1.094229056,0.668825158,0.539595055
