w,aoa,cd,cl,cm
0,-60,2.001968,-1.2363336,-1.0203618
0,-50,1.480041,-1.31302,-0.812856
0,-40,0.97967038,-1.2169757,-0.600733
0,-30,0.5740086,-1.0020966,-0.4121061
0,-20,0.294249,-0.7390301,-0.2675204
0,-18,0.255298,-0.690598,-0.246863
0,-16,0.21958,-0.6417686,-0.228818
0,-14,0.18776,-0.6056559,-0.2146955
0,-12,0.158458,-0.574171,-0.204401
0,-10,0.13673,-0.56822,-0.206319
0,-8,0.11108,-0.54094,-0.19288
0,-6,0.084924,-0.55582,-0.181262
0,-4,0.050303,-0.46415,-0.11616
0,-2,0.02696,-0.22687,-0.05075
0,0,0.024167,0.0012,4.75E-04
0,2,0.02696,0.22687,0.05075
0,4,0.050303,0.46415,0.11616
0,6,0.084924,0.55582,0.181262
0,8,0.11108,0.54094,0.19288
0,10,0.13673,0.56822,0.206319
0,12,0.158458,0.574171,0.204401
0,14,0.18776,0.6056559,0.2146955
0,16,0.21958,0.6417686,0.228818
0,18,0.255298,0.690598,0.246863
0,20,0.294249,0.7390301,0.2675204
0,30,0.5740086,1.0020966,0.4121061
0,40,0.97967038,1.2169757,0.600733
0,50,1.480041,1.31302,0.812856
0,60,2.001968,1.2363336,1.0203618
0.0035,-60,1.994587488,-1.236040949,-1.018452305
0.0035,-50,1.476514263,-1.312048387,-0.811571869
0.0035,-40,0.979280972,-1.219588108,-0.601561017
0.0035,-30,0.574701246,-0.999858184,-0.411429849
0.0035,-20,0.294251659,-0.738499626,-0.267552256
0.0035,-18,0.254217013,-0.687698885,-0.245864719
0.0035,-16,0.218475527,-0.644331792,-0.227510606
0.0035,-14,0.188126229,-0.603754026,-0.214313398
0.0035,-12,0.158025061,-0.573625979,-0.202049481
0.0035,-10,0.132395892,-0.54847555,-0.195628334
0.0035,-8,0.110358664,-0.546849043,-0.192340716
0.0035,-6,0.082168515,-0.521916356,-0.17156886
0.0035,-4,0.051048349,-0.466205596,-0.120774101
0.0035,-2,0.027480275,-0.2286704,-0.051698713
0.0035,0,0.024167118,0.00116867,4.74E-04
0.0035,2,0.026731102,0.227498512,0.050391244
0.0035,4,0.050301069,0.464124281,0.116150939
0.0035,6,0.084425696,0.548520381,0.178748055
0.0035,8,0.110044893,0.536591263,0.18855404
0.0035,10,0.134271892,0.554463827,0.198084116
0.0035,12,0.158574242,0.574889919,0.204665875
0.0035,14,0.18694786,0.60151174,0.213715533
0.0035,16,0.219466203,0.641242882,0.228613711
0.0035,18,0.255100728,0.689789833,0.246561
0.0035,20,0.293691986,0.737359299,0.266955765
0.0035,30,0.572283988,0.998883805,0.411028376
0.0035,40,0.979745154,1.21722967,0.600812854
0.0035,50,1.477668356,1.310954069,0.811876211
0.0035,60,1.998173481,1.233576152,1.01895899
