w,aoa,cd,cl,cm
0,-60,2.001968,-1.2363336,-0.91832562
0,-50,1.480041,-1.31302,-0.7315704
0,-40,0.97967038,-1.2169757,-0.5406597
0,-30,0.5740086,-1.0020966,-0.37089549
0,-20,0.294249,-0.7390301,-0.24076836
0,-18,0.255298,-0.690598,-0.2221767
0,-16,0.21958,-0.6417686,-0.2059362
0,-14,0.18776,-0.6056559,-0.19322595
0,-12,0.158458,-0.574171,-0.1839609
0,-10,0.13673,-0.56822,-0.1856871
0,-8,0.11108,-0.54094,-0.173592
0,-6,0.084924,-0.55582,-0.1631358
0,-4,0.050303,-0.46415,-0.104544
0,-2,0.02696,-0.22687,-0.045675
0,0,2.42E-02,1.20E-03,4.28E-04
0,2,0.02696,0.22687,0.045675
0,4,0.050303,0.46415,0.104544
0,6,0.084924,0.55582,0.1631358
0,8,0.11108,0.54094,0.173592
0,10,0.13673,0.56822,0.1856871
0,12,0.158458,0.574171,0.1839609
0,14,0.18776,0.6056559,0.19322595
0,16,0.21958,0.6417686,0.2059362
0,18,0.255298,0.690598,0.2221767
0,20,0.294249,0.7390301,0.24076836
0,30,0.5740086,1.0020966,0.37089549
0,40,0.97967038,1.2169757,0.5406597
0,50,1.480041,1.31302,0.7315704
0,60,2.001968,1.2363336,0.91832562
0.0035,-60,1.994587488,-1.236040949,-0.916607075
0.0035,-50,1.476514263,-1.312048387,-0.730414682
0.0035,-40,0.979280972,-1.219588108,-0.541404915
0.0035,-30,0.574701246,-0.999858184,-0.370286864
0.0035,-20,0.294251659,-0.738499626,-0.24079703
0.0035,-18,0.254217013,-0.687698885,-0.221278247
0.0035,-16,0.218475527,-0.644331792,-0.204759545
0.0035,-14,0.188126229,-0.603754026,-0.192882058
0.0035,-12,0.158025061,-0.573625979,-0.181844533
0.0035,-10,0.132395892,-0.54847555,-0.176065501
0.0035,-8,0.110358664,-0.546849043,-0.173106644
0.0035,-6,0.082168515,-0.521916356,-0.154411974
0.0035,-4,0.051048349,-0.466205596,-0.108696691
0.0035,-2,0.027480275,-0.2286704,-0.046528842
0.0035,0,0.024167118,0.00116867,4.27E-04
0.0035,2,0.026731102,0.227498512,0.04535212
0.0035,4,0.050301069,0.464124281,0.104535845
0.0035,6,0.084425696,0.548520381,0.16087325
0.0035,8,0.110044893,0.536591263,0.169698636
0.0035,10,0.134271892,0.554463827,0.178275704
0.0035,12,0.158574242,0.574889919,0.184199288
0.0035,14,0.18694786,0.60151174,0.19234398
0.0035,16,0.219466203,0.641242882,0.20575234
0.0035,18,0.255100728,0.689789833,0.2219049
0.0035,20,0.293691986,0.737359299,0.240260189
0.0035,30,0.572283988,0.998883805,0.369925538
0.0035,40,0.979745154,1.21722967,0.540731569
0.0035,50,1.477668356,1.310954069,0.73068859
0.0035,60,1.998173481,1.233576152,0.917063091
