w,aoa,cd,cl,cm
0,-60,2.001968,-1.17451692,-0.86730753
0,-50,1.480041,-1.247369,-0.6909276
0,-40,0.97967038,-1.156126915,-0.51062305
0,-30,0.5740086,-0.95199177,-0.350290185
0,-20,0.294249,-0.702078595,-0.22739234
0,-18,0.255298,-0.6560681,-0.20983355
0,-16,0.21958,-0.60968017,-0.1944953
0,-14,0.18776,-0.575373105,-0.182491175
0,-12,0.158458,-0.54546245,-0.17374085
0,-10,0.13673,-0.539809,-0.17537115
0,-8,0.11108,-0.513893,-0.163948
0,-6,0.084924,-0.528029,-0.1540727
0,-4,0.050303,-0.4409425,-0.098736
0,-2,0.02696,-0.2155265,-0.0431375
0,0,0.024167,0.00114,0.00040375
0,2,0.02696,0.2155265,0.0431375
0,4,0.050303,0.4409425,0.098736
0,6,0.084924,0.528029,0.1540727
0,8,0.11108,0.513893,0.163948
0,10,0.13673,0.539809,0.17537115
0,12,0.158458,0.54546245,0.17374085
0,14,0.18776,0.575373105,0.182491175
0,16,0.21958,0.60968017,0.1944953
0,18,0.255298,0.6560681,0.20983355
0,20,0.294249,0.702078595,0.22739234
0,30,0.5740086,0.95199177,0.350290185
0,40,0.97967038,1.156126915,0.51062305
0,50,1.480041,1.247369,0.6909276
0,60,2.001968,1.17451692,0.86730753
0.0035,-60,1.994587488,-1.174238902,-0.865684459
0.0035,-50,1.476514263,-1.246445968,-0.689836089
0.0035,-40,0.979280972,-1.158608703,-0.511326864
0.0035,-30,0.574701246,-0.949865275,-0.349715372
0.0035,-20,0.294251659,-0.701574645,-0.227419418
0.0035,-18,0.254217013,-0.653313941,-0.208985011
0.0035,-16,0.218475527,-0.612115202,-0.193384015
0.0035,-14,0.188126229,-0.573566325,-0.182166388
0.0035,-12,0.158025061,-0.54494468,-0.171742059
0.0035,-10,0.132395892,-0.521051773,-0.166284084
0.0035,-8,0.110358664,-0.519506591,-0.163489609
0.0035,-6,0.082168515,-0.495820538,-0.145833531
0.0035,-4,0.051048349,-0.442895316,-0.102657986
0.0035,-2,0.027480275,-0.21723688,-0.043943906
0.0035,0,0.024167118,0.001110237,0.0004029
0.0035,2,0.026731102,0.216123586,0.042832557
0.0035,4,0.050301069,0.440918067,0.098728298
0.0035,6,0.084425696,0.521094362,0.151935847
0.0035,8,0.110044893,0.5097617,0.160270934
0.0035,10,0.134271892,0.526740636,0.168371499
0.0035,12,0.158574242,0.546145423,0.173965994
0.0035,14,0.18694786,0.571436153,0.181658203
0.0035,16,0.219466203,0.609180738,0.194321654
0.0035,18,0.255100728,0.655300341,0.20957685
0.0035,20,0.293691986,0.700491334,0.2269124
0.0035,30,0.572283988,0.948939615,0.34937412
0.0035,40,0.979745154,1.156368187,0.510690926
0.0035,50,1.477668356,1.245406366,0.690094779
0.0035,60,1.998173481,1.171897344,0.866115142
