aoa,cd,cl,cm 
-60,2.043023295,-1.178866715,0.113870653 
-55,1.784052335,-1.24850113,0.12384856 
-50,1.519081481,-1.274212843,0.130550478 
-45,1.258836185,-1.260763871,0.13360203 
-40,1.004262312,-1.2123409,0.132326553 
-35,0.787009888,-1.128417538,0.12929771 
-30,0.619399585,-1.019308257,0.124165464 
-25,0.468929284,-0.897517827,0.113736889 
-23,0.414403145,-0.848438421,0.108040643 
-21,0.363430638,-0.798958888,0.101545643 
-19,0.31625657,-0.749135781,0.094343897 
-17,0.273518517,-0.702120216,0.086495326 
-15,0.235393349,-0.659079305,0.078038202 
-14,0.219013441,-0.643624123,0.0736797 
-13,0.201929759,-0.623916657,0.069144026 
-12,0.185746775,-0.606008882,0.064933967 
-11,0.172342838,-0.598587433,0.060928188 
-10,0.157547007,-0.581879275,0.056496592 
-9,0.144650385,-0.57497808,0.053873552 
-8,0.132330973,-0.574744414,0.052622336 
-7,0.119108492,-0.569973277,0.051843631 
-6,0.10725368,-0.577919165,0.053866709 
-5,0.094563853,-0.581447168,0.059825579 
-4,0.080731495,-0.567526641,0.071185685 
-3,0.065174231,-0.480821329,0.078413928 
-2,0.052255553,-0.317526209,0.06515901 
-1,0.04521924,-0.150257405,0.034874224 
0,0.042886958,0.001730706,-1.45E-04 
1,0.04521924,0.150257405,-0.034874224 
2,0.052255553,0.317526209,-0.06515901 
3,0.065174231,0.480821329,-0.078413928 
4,0.080731495,0.567526641,-0.071185685 
5,0.094563853,0.581447168,-0.059825579 
6,0.10725368,0.577919165,-0.053866709 
7,0.119108492,0.569973277,-0.051843631 
8,0.132330973,0.574744414,-0.052622336 
9,0.144650385,0.57497808,-0.053873552 
10,0.157547007,0.581879275,-0.056496592 
11,0.172342838,0.598587433,-0.060928188 
12,0.185746775,0.606008882,-0.064933967 
13,0.201929759,0.623916657,-0.069144026 
14,0.219013441,0.643624123,-0.0736797 
15,0.235393349,0.659079305,-0.078038202 
17,0.273518517,0.702120216,-0.086495326 
19,0.31625657,0.749135781,-0.094343897 
21,0.363430638,0.798958888,-0.101545643 
23,0.414403145,0.848438421,-0.108040643 
25,0.468929284,0.897517827,-0.113736889 
30,0.619399585,1.019308257,-0.124165464 
35,0.787009888,1.128417538,-0.12929771 
40,1.004262312,1.2123409,-0.132326553 
45,1.258836185,1.260763871,-0.13360203 
50,1.519081481,1.274212843,-0.130550478 
55,1.784052335,1.24850113,-0.12384856 
60,2.043023295,1.178866715,-0.113870653 
