w;aoa;cd;cl;cm;;;;;;;;;
0.02;-60;2.06895122;-1.193446459;-0.303914852;;;;;;;;;
0.02;-55;1.808592094;-1.265269709;-0.240836007;;;;;;;;;
0.02;-50;1.542602791;-1.293564471;-0.180066944;;;;;;;;;
0.02;-45;1.278618928;-1.279689861;-0.123361118;;;;;;;;;
0.02;-40;1.024120121;-1.229814547;-0.072658903;;;;;;;;;
0.02;-35;0.79316082;-1.146157995;-0.029769191;;;;;;;;;
0.02;-30;0.624272095;-1.03341162;-4.16E-04;;;;;;;;;
0.02;-25;0.471292899;-0.905722386;0.019893217;;;;;;;;;
0.02;-23;0.416512769;-0.855847558;0.025169941;;;;;;;;;
0.02;-21;0.364824834;-0.804378037;0.029118761;;;;;;;;;
0.02;-19;0.317377045;-0.753771361;0.031330849;;;;;;;;;
0.02;-17;0.274426914;-0.705713303;0.03228624;;;;;;;;;
0.02;-15;0.236056783;-0.662323321;0.031233465;;;;;;;;;
0.02;-14;0.218842062;-0.643584757;0.030438769;;;;;;;;;
0.02;-13;0.202836208;-0.627935971;0.029082765;;;;;;;;;
0.02;-12;0.187304086;-0.613516061;0.027979242;;;;;;;;;
0.02;-11;0.172932666;-0.601216714;0.026781734;;;;;;;;;
0.02;-10;0.159506748;-0.592826695;0.02507366;;;;;;;;;
0.02;-9;0.145439247;-0.580137514;0.025257842;;;;;;;;;
0.02;-8;0.132892617;-0.578804994;0.026266701;;;;;;;;;
0.02;-7;0.120209833;-0.577994086;0.02850213;;;;;;;;;
0.02;-6;0.108081475;-0.585074206;0.032729893;;;;;;;;;
0.02;-5;0.094362315;-0.581439316;0.040954861;;;;;;;;;
0.02;-4;0.080525712;-0.568070111;0.055002055;;;;;;;;;
0.02;-3;0.065053154;-0.48264202;0.065683217;;;;;;;;;
0.02;-2;0.052486766;-0.316256174;0.054111541;;;;;;;;;
0.02;-1;0.04530311;-0.154498445;0.026399848;;;;;;;;;
0.02;0;0.042941945;-6.65E-05;-8.28E-03;;;;;;;;;
0.02;1;0.045305642;0.149040677;-0.043621551;;;;;;;;;
0.02;2;0.052659876;0.31573554;-0.075318776;;;;;;;;;
0.02;3;0.065296804;0.480118274;-0.091874399;;;;;;;;;
0.02;4;0.080985528;0.570052662;-0.088058266;;;;;;;;;
0.02;5;0.095267146;0.587716629;-0.079719656;;;;;;;;;
0.02;6;0.108025621;0.583636176;-0.07603354;;;;;;;;;
0.02;7;0.120752331;0.580927226;-0.076848997;;;;;;;;;
0.02;8;0.133655399;0.582580677;-0.079851271;;;;;;;;;
0.02;9;0.146240238;0.583239727;-0.083490328;;;;;;;;;
0.02;10;0.159381018;0.590321026;-0.088844242;;;;;;;;;
0.02;11;0.173090299;0.601677923;-0.095387308;;;;;;;;;
0.02;12;0.189079433;0.619956724;-0.102968286;;;;;;;;;
0.02;13;0.202932476;0.627025748;-0.109606738;;;;;;;;;
0.02;14;0.220029431;0.646128829;-0.117461193;;;;;;;;;
0.02;15;0.236367407;0.661736904;-0.125033426;;;;;;;;;
0.02;17;0.274202635;0.70252772;-0.141166932;;;;;;;;;
0.02;19;0.316721929;0.748733105;-0.157312512;;;;;;;;;
0.02;21;0.362741897;0.795277274;-0.173680406;;;;;;;;;
0.02;23;0.411474754;0.839036586;-0.189727709;;;;;;;;;
0.02;25;0.46640211;0.888932683;-0.206599044;;;;;;;;;
0.02;30;0.616749743;1.009052652;-0.247630027;;;;;;;;;
0.02;35;0.783384116;1.116250432;-0.286689096;;;;;;;;;
0.02;40;0.991556833;1.199042279;-0.331316288;;;;;;;;;
0.02;45;1.244021256;1.246063323;-0.383842884;;;;;;;;;
0.02;50;1.50222423;1.260318098;-0.43322015;;;;;;;;;
0.02;55;1.76475895;1.235078626;-0.479880512;;;;;;;;;
0.02;60;2.023885933;1.167819402;-0.522436295;;;;;;;;;
